"catv" "ivv" "lvcr" "ovid" "pers" "verg"
"pectora" 0.01431229426077 0.0161446561188247 0.0226949184014525 0.0921906810586563 0 0.0566376136685441
"caeli" 0.05724917704308 0.0282531482079432 0.134106336008583 0.0307302270195521 0 0.0361851420660143
"nomen" 0.02862458852154 0.0403616402970617 0.0123790464007923 0.0768255675488803 0 0.0692237500393317
"talia" 0.10018605982539 0.0201808201485308 0.00825269760052817 0.0576191756616602 0 0.0959692898272553
"omne" 0.02862458852154 0.0443978043267678 0.109348243206998 0.0294498008937374 0.0673551863493489 0.0440514772977565
"inque" 0 0.0121084920891185 0.0515793600033011 0.097312385561915 0.0898069151324652 0.0173059375098329
"toto" 0.07156147130385 0.0605424604455925 0.0618952320039613 0.0422540621518841 0 0.0566376136685441
"cur" 0.05724917704308 0.0443978043267678 0.0907796736058099 0.0576191756616602 0.0898069151324652 0.0157326704634845
"inquit" 0 0.0524701323861802 0 0.0921906810586563 0.0673551863493489 0.045624744344105
"omnibus" 0.07156147130385 0.0363254762673555 0.105221894406734 0.0307302270195521 0 0.0440514772977565
"deus" 0.01431229426077 0.0161446561188247 0.00618952320039613 0.097312385561915 0.0449034575662326 0.0471980113904534
"tot" 0.02862458852154 0.113012592831773 0.00825269760052817 0.0460953405293282 0.0449034575662326 0.0692237500393317
"urbem" 0 0.048433968356474 0.00618952320039613 0.0345715053969961 0.0224517287831163 0.114848494383437
"dictis" 0.01431229426077 0.00403616402970617 0.0453898368029049 0.0396932099002548 0 0.0928227557345584
"magno" 0.02862458852154 0.0807232805941233 0.0577688832036972 0.0243280963904788 0 0.0707970170856801
"namque" 0.15743523686847 0.0282531482079432 0.0660215808042254 0.0281693747679228 0 0.0660772159466348
"tela" 0.02862458852154 0.0161446561188247 0.0185685696011884 0.0409736360260695 0 0.102262358012649
"huc" 0.07156147130385 0.0121084920891185 0.0288844416018486 0.0448149144035135 0.0449034575662326 0.0818098864101193
"ingens" 0 0.0524701323861802 0.0144422208009243 0.0217672441388494 0.0449034575662326 0.113275227337088
"uidetur" 0 0.0322893122376493 0.167117126410695 0.0256085225162934 0 0.00157326704634845
"domus" 0.11449835408616 0.096867936712948 0.0103158720006602 0.0396932099002548 0 0.0645039489002863
"illo" 0.02862458852154 0.0524701323861802 0.00825269760052817 0.0947515333102857 0 0.0251722727415752
"longe" 0.04293688278231 0.0282531482079432 0.0907796736058099 0.0179259657614054 0 0.0645039489002863
"quondam" 0.11449835408616 0.0282531482079432 0.0144422208009243 0.0588996017874749 0.0224517287831163 0.0629306818539379
